day,slope: CO2 vs. MW,intercept,r_val,p_val,error
31,0.483017439937,-7230.47848299,0.990460168862,2.53824684669e-34,0.0109013701889
32,0.474466572471,-5196.5782145,0.98724372868,6.16606114078e-32,0.0124130035652
33,0.471837757329,-4738.45573619,0.9870938423,7.68845668616e-32,0.0124179561652
34,0.489017009734,-8796.82537637,0.992054114189,7.97824100534e-36,0.0100604760281
35,0.441363371545,3555.29917665,0.964128281123,1.71694329004e-23,0.0197119997985
36,0.484150314039,-7371.32227996,0.990875148928,1.09420371624e-34,0.0106832745225
37,0.466589108071,-3243.1352259,0.98597892498,3.67600688358e-31,0.0128101182979
38,0.473131573764,-5272.56112642,0.992001229686,9.04580640954e-36,0.00976639614939
39,0.479815881836,-6565.50068118,0.99107029019,7.26851061358e-35,0.0104722579791
40,0.469828681867,-2952.90984776,0.956170661611,7.20949477287e-22,0.0233398543509
41,0.446807793321,3185.443007,0.970940075897,3.33220486137e-25,0.0178657174861
42,0.446807793321,3185.443007,0.970940075897,3.33220486138e-25,0.0178657174861
43,0.464429980866,-1263.16720619,0.980955444311,1.18408510591e-28,0.014917702557
44,0.482470820487,-7058.34699312,0.990797341127,1.28490582019e-34,0.010692139338
45,0.464100218521,-180.208906328,0.979437012808,5.01978700463e-28,0.0155080577123
46,0.469373184995,-1991.57068763,0.983322220906,9.71009025161e-30,0.0140830386346
47,0.473610512737,-4613.95520591,0.988725070155,5.98343373238e-33,0.0116358546523
48,0.42797903898,7072.70922317,0.965826594897,6.93344970358e-24,0.0186315193339
49,0.464017579374,-924.943618952,0.96785787677,2.20265826284e-24,0.019559835259
50,0.457363729481,-1792.71280971,0.988061359618,1.76381216675e-32,0.0115685341821
51,0.477141521363,-6174.0278436,0.986962368565,9.31067136757e-32,0.0126226049274
52,0.482545056987,-6441.64884658,0.966277089744,5.40937883034e-24,0.0208607190079
53,0.426025871463,6788.36725586,0.978593184319,1.06997402183e-27,0.0145343722064
54,0.475452982846,-4712.08535104,0.963840061877,1.99389492266e-23,0.0213244432552
55,0.472557628091,-2259.81631482,0.967543396002,2.64304029364e-24,0.0200219432012
56,0.435597924276,4570.58606569,0.980027882,2.89948027141e-28,0.0143384856564
57,0.45737898828,1460.37493009,0.979076771387,6.9605301202e-28,0.0154210283309
58,0.454941873806,2337.75209007,0.978527481996,1.13348056521e-27,0.0155454614344
59,0.465346597666,-3588.10818158,0.992111712065,6.95168466238e-36,0.00953833101111
60,0.455181803349,-1450.91785249,0.989569774428,1.37252355719e-33,0.0107491249149
61,0.507925592481,-12670.1142812,0.96271627195,3.53183191127e-23,0.0231525276994
62,0.422304753094,7299.29481229,0.975043932347,1.91386543963e-26,0.0155986295602
63,0.441232865595,3686.30112923,0.977860188264,2.01576307841e-27,0.0153173644801
64,0.498594075624,-10538.2437098,0.958316998806,2.82956501043e-22,0.0241138808678
65,0.431410681695,5358.70585583,0.978165026186,1.5530274216e-27,0.01486943827
66,0.443785736219,1319.78666796,0.981164040553,9.62244284023e-29,0.0141740516101
67,0.462453539228,-2905.51964248,0.991842777656,1.31135163057e-35,0.009641223522
68,0.446626722061,580.149371381,0.975140027652,1.78007196004e-26,0.0164639935567
69,0.460486673773,327.774504447,0.954291229672,1.5748498145e-21,0.0233958455757
70,0.470864488314,-1992.20906969,0.966594630783,4.53187693718e-24,0.0202546770966
71,0.482061494321,-6240.18159577,0.956265465909,6.92462400655e-22,0.0239198426552
72,0.45037148441,810.386176679,0.960258177476,1.16292211557e-22,0.0212359453678
73,0.510854996967,-13969.3522723,0.972148535162,1.50243428544e-25,0.0199786920572
74,0.437869046527,3969.68497192,0.981222845289,9.07202619834e-29,0.0139626017814
75,0.440879330396,3531.43683648,0.98205768481,3.85084078038e-29,0.0137337243808
76,0.432717263208,5231.39396448,0.98086964336,1.28870567643e-28,0.013931266846
77,0.466319352271,-1056.13227675,0.957120217834,4.79476129172e-22,0.0228960301065
78,0.42706058067,4982.08303621,0.963013833416,3.04091090663e-23,0.019384138446
79,0.500650747494,-10725.2496396,0.950343885148,7.34088288249e-21,0.0265952606427
80,0.496535082344,-9595.41971278,0.958638815865,2.44896901853e-22,0.0239153527406
81,0.438632712515,4350.05427967,0.982717398345,1.90067174624e-29,0.0134034174218
82,0.46430950973,-376.857061028,0.957057334415,4.92743600869e-22,0.02281519046
83,0.466563497354,-825.217226534,0.971528756163,2.27025097549e-25,0.0184572960437
84,0.435082488087,5086.51583082,0.955131793079,1.11498802887e-21,0.0218863771947
85,0.441698840032,3850.35709172,0.97796542988,1.8429635483e-27,0.0152958141022
86,0.445900436401,2540.15376391,0.977790391571,2.13870193421e-27,0.0155046124793
87,0.448902110426,2540.56241828,0.968817352799,1.24879692279e-24,0.0186241793269
88,0.448549691143,2623.1464639,0.980979874257,1.15579991966e-28,0.0143981067679
89,0.467359647206,-1214.19996773,0.956562336996,6.09983093911e-22,0.0231060764901
90,0.422688725343,8091.31351795,0.967644710191,2.49280172959e-24,0.017879646452
91,0.423966887088,8168.166385,0.970698879242,3.89071502291e-25,0.0170258131472
92,0.455114163586,1101.23406683,0.977345045402,3.10672749364e-27,0.015988343325
93,0.46175908907,188.770282639,0.981063664922,1.06356705146e-28,0.0147884836067
94,0.466846810271,-1220.02900009,0.957752504217,3.63563846641e-22,0.0227409540702
95,0.490013172795,-6185.64994191,0.968187887354,1.81564789627e-24,0.0205440396675
96,0.471064217553,-2122.07436978,0.960773758243,9.1148503855e-23,0.0220581597923
97,0.467569391958,-1074.17232757,0.972118827562,1.53278268151e-25,0.0182960347613
98,0.429219379388,6714.53653252,0.962294294336,4.35785803483e-23,0.0196818183957
99,0.456496977268,436.073669315,0.977608899553,2.4924453112e-27,0.015940020823
100,0.432686003313,5877.38964561,0.955873362021,8.17637821866e-22,0.0215725495494
101,0.466651981441,-1832.8487598,0.970396576387,4.71615560834e-25,0.0188408222478
102,0.455256574599,1161.49323247,0.978978267666,7.60377511472e-28,0.0153867231807
103,0.462423885634,-892.106027777,0.970050671308,5.86332530423e-25,0.0187839223501
104,0.422337342643,8118.75545545,0.960963906794,8.32475858354e-23,0.0197255254946
105,0.416254033983,9238.43268936,0.962949915127,3.14058191855e-23,0.0189108988087
106,0.439384288433,4523.67613123,0.966091535216,5.99413027319e-24,0.0190497981593
107,0.463478996115,-1602.37035559,0.952131657981,3.7151321614e-21,0.0241390402436
108,0.470721869319,-1848.89866688,0.962812481498,3.36544813861e-23,0.0214273700939
109,0.480007328096,-3989.70479126,0.981806397724,5.00470907632e-29,0.0150598335867
110,0.448653300888,1122.21144531,0.924368466967,1.73119778558e-17,0.030037896379
111,0.490970820902,-8341.62631945,0.952875315404,2.77714035542e-21,0.0253564992155
112,0.472789084252,-4159.63689493,0.948408978793,1.49217913679e-20,0.0256393558026
113,0.435366833071,5480.53738575,0.956990346919,5.0725831495e-22,0.021410819823
114,0.435139143561,4241.44622735,0.99140501795,3.52726633701e-35,0.00931510012122
115,0.433350788285,4597.74147816,0.991224190674,5.2307748651e-35,0.00937517902028
116,0.477762872448,-3277.96334021,0.967450068871,2.78897740169e-24,0.0202730427261
117,0.484236494927,-4709.11240142,0.968816804638,1.24920815034e-24,0.0200903275435
118,0.424715068497,7101.89160328,0.959513586247,1.64400663512e-22,0.0202247674583
119,0.431741619865,5662.23551497,0.962727894984,3.51132581706e-23,0.0196766232691
120,0.487438535159,-5436.82634084,0.969474514928,8.37932343204e-25,0.0199985327835
121,0.415852507466,8873.03222027,0.956590492553,6.02662502187e-22,0.020552462502
122,0.411819301211,9996.68345892,0.964691793064,1.27711148597e-23,0.0182394342093
123,0.416866969386,8658.77227567,0.956315392183,6.77891420966e-22,0.0206722713634
124,0.414931415481,9351.68886934,0.972339944937,1.32011049101e-25,0.0161690236829
125,0.415647431715,8971.51613632,0.976324349371,7.11391349992e-27,0.0149389218171
126,0.419240248859,8393.56450035,0.97709406261,3.82185362065e-27,0.0148122999559
127,0.529953478644,-16584.2484687,0.956208047785,7.09585781532e-22,0.0263146881763
128,0.445695917402,2346.10418972,0.83013847645,3.50160781154e-11,0.0485607960418
129,0.421892367187,7892.53449814,0.989163752235,2.82568742606e-33,0.0101581917889
130,0.459283174738,-498.691922566,0.961472338699,6.51798159844e-23,0.0213024405025
131,0.455269149564,1435.83411776,0.980320048775,2.19691318085e-28,0.0148726459775
132,0.457294199129,1051.75481145,0.965484292615,8.35410895255e-24,0.0200125237026
133,0.401260755125,11882.9521839,0.960038336834,1.28895869188e-22,0.0189758121434
134,0.483896299191,-4558.6611177,0.967248469497,3.13064722933e-24,0.0206000302953
135,0.478571300386,-3652.93808357,0.948028138734,1.71025772231e-20,0.0260564575962
136,0.467791303094,-2112.62591764,0.93809915706,4.34362967887e-19,0.0280186932933
137,0.460485171828,-136.665849141,0.979026178172,7.28418982936e-28,0.0155451208902
138,0.462435686902,-196.418679024,0.965680066255,7.51107696288e-24,0.02017696841
139,0.455924690551,1321.95553539,0.965206566774,9.70469755107e-24,0.0200370504378
140,0.460750888759,291.989830906,0.978150522965,1.57254754063e-27,0.0158861581882
141,0.448537561702,3443.44221274,0.9770997878,3.80393284564e-27,0.0158453613873
142,0.416249456123,9919.88450602,0.988139048162,1.55908985132e-32,0.0104936594986
143,0.461461195783,-517.091802273,0.936852689308,6.27475685042e-19,0.0279445941324
144,0.473892350159,-2727.92379577,0.946366913218,3.06455586367e-20,0.0262456362111
145,0.389609954078,14088.7531825,0.958509334606,2.595879724e-22,0.0187966269341
146,0.439788803693,4949.99548911,0.983957987311,4.66545301875e-30,0.0129351502688
147,0.412378549492,9547.09975684,0.982334837858,2.87168545652e-29,0.0127435974053
148,0.402758343634,11556.0781924,0.969421441713,8.65651943226e-25,0.0165393318193
149,0.465654840636,-1473.63665464,0.965812082774,6.98872613796e-24,0.0202762207715
150,0.425672473631,7734.31051352,0.906431355208,8.41797045295e-16,0.032175448141
151,0.509890501941,-12715.1466838,0.986173832675,2.82224084605e-31,0.0138992440742
152,0.509890501941,-12715.1466838,0.986173832675,2.82224084605e-31,0.0138992440742
153,0.412293939445,10427.2668614,0.912969534775,2.25319740012e-16,0.0298915576217
154,0.452932437096,1579.64620561,0.947500898545,2.06226589433e-20,0.0247957223013
155,0.472332861937,-2737.93213343,0.974830356491,2.24608664248e-26,0.0175238992835
156,0.419230065027,8446.6490939,0.948709942876,1.33871253781e-20,0.0226629980735
157,0.425813570585,7549.74598073,0.917686918043,8.1502061464e-17,0.0299058701551
158,0.473482070563,-3114.00251603,0.974620642313,2.62486169322e-26,0.0176424251695
159,0.41383900093,9486.06161862,0.955535104559,9.42521900964e-22,0.0207173602407
160,0.401586834794,11494.6812145,0.978337766743,1.33748046559e-27,0.0137848068294
161,0.375197602806,16566.5406349,0.933911151754,1.45223748787e-18,0.0232994165522
162,0.484906789228,-5720.15409834,0.968240586059,1.76014957027e-24,0.0203122725207
163,0.502889906337,-11043.8575065,0.978050586949,1.71350114043e-27,0.0173800073265
164,0.469876567068,-2080.86757183,0.964690987666,1.27765615785e-23,0.0208110349626
165,0.427344229272,8127.87264412,0.988549653809,8.01099309366e-33,0.0105819349052
166,0.419244855741,9956.86328121,0.987621761099,3.49290476409e-32,0.010801438448
167,0.499749294274,-10115.8406085,0.976677300232,5.36406941107e-27,0.0178224167782
168,0.486756997593,-6386.0112831,0.968069164274,1.94680303175e-24,0.0204474586991
169,0.480204041668,-6942.25182226,0.927535712881,7.89800248141e-18,0.0313882137296
170,0.428384749419,6614.58149145,0.942292063003,1.18876755175e-19,0.0246906039001
171,0.483045963754,-5351.37031105,0.963276226962,2.66223321967e-23,0.0218428934962
172,0.464730454883,-1566.72073508,0.966030559643,6.19899439781e-24,0.0201677662125
173,0.379499913356,15897.2135464,0.926494421744,1.02623680832e-17,0.0250046684889
174,0.407950725856,10565.1489541,0.976516868843,6.10181068222e-27,0.014600388985
175,0.399824542681,12069.4736687,0.968742010111,1.30653566816e-24,0.0166090367004
176,0.352066632712,21692.3118524,0.920888287368,3.94615365888e-17,0.0241767303299
177,0.361101434838,20002.9096284,0.91199988285,2.75725524368e-16,0.0263468190713
178,0.464162781258,-1633.10161262,0.957310536472,4.41348944168e-22,0.0227360958813
179,0.442358945298,3517.35812774,0.920092757454,4.73883247906e-17,0.0305496036649
180,0.39893580665,13495.5325982,0.888344494278,2.05598305446e-14,0.0334511066272
181,0.367408671586,18291.239406,0.919044045531,6.01478782464e-17,0.0255616067075
182,0.385946085375,14474.439073,0.954068560463,1.72383073695e-21,0.0196598492925
183,0.45860339702,-439.551316163,0.954273402813,1.58631386319e-21,0.0233050346101
184,0.445671867024,3421.70949474,0.921867252611,3.14193606383e-17,0.0303901801984
185,0.359892851428,19565.9472754,0.909854616665,4.27484740771e-16,0.0266244912759
186,0.397419988771,13094.3841135,0.930138503636,4.03336602599e-18,0.0254520908519
187,0.468117404281,-2669.6108066,0.953343673547,2.30650486891e-21,0.0240468448681
188,0.468458349277,-2677.85999759,0.956045134244,7.60375406343e-22,0.0233073932993
189,0.468266150701,-2242.55750474,0.95453412864,1.42624382838e-21,0.0237232341079
190,0.509242250764,-13030.7811911,0.979613330033,4.26862301555e-28,0.0169410871059
191,0.517376800877,-14945.4898329,0.984671693143,1.97712565687e-30,0.0148667189151
192,0.546416934252,-24396.3135877,0.990760691986,1.38525890929e-34,0.0121336883334
193,0.515687040678,-14449.0198858,0.984861485554,1.56291847597e-30,0.0147240063959
194,0.506346543548,-11797.7803156,0.985889821349,4.14301127766e-31,0.0139467013039
195,0.442497626564,3826.28055942,0.942200464481,1.22415060942e-19,0.0255261333878
196,0.415179307623,9993.39072571,0.914615131811,1.59089197193e-16,0.0297739681441
197,0.459464789214,585.252078059,0.923202052183,2.29164861489e-17,0.0310277968998
198,0.422048304033,8577.95423857,0.909126455686,4.948649871e-16,0.031367661785
199,0.440414410194,4790.32457472,0.915569386165,1.29594783156e-16,0.0313817657754
200,0.502396791794,-10629.1380402,0.970382144465,4.75943663804e-25,0.0202891708526
201,0.515174238226,-15170.9418822,0.988582501237,7.58758773461e-33,0.0127381604168
